store,item,sales,year,month,day,weekend,holidays,m1,m2,weekday
1,1,13,2013,1,1,0,0,0.49999999999999994,0.8660254037844387,1
1,1,11,2013,1,2,0,0,0.49999999999999994,0.8660254037844387,2
1,1,14,2013,1,3,0,0,0.49999999999999994,0.8660254037844387,3
1,1,13,2013,1,4,0,0,0.49999999999999994,0.8660254037844387,4
1,1,10,2013,1,5,1,0,0.49999999999999994,0.8660254037844387,5
1,1,12,2013,1,6,1,0,0.49999999999999994,0.8660254037844387,6
1,1,10,2013,1,7,0,0,0.49999999999999994,0.8660254037844387,0
1,1,9,2013,1,8,0,0,0.49999999999999994,0.8660254037844387,1
1,1,12,2013,1,9,0,0,0.49999999999999994,0.8660254037844387,2
1,1,9,2013,1,10,0,0,0.49999999999999994,0.8660254037844387,3
1,1,9,2013,1,11,0,0,0.49999999999999994,0.8660254037844387,4
1,1,7,2013,1,12,1,0,0.49999999999999994,0.8660254037844387,5
1,1,10,2013,1,13,1,0,0.49999999999999994,0.8660254037844387,6
1,1,12,2013,1,14,0,0,0.49999999999999994,0.8660254037844387,0
1,1,5,2013,1,15,0,0,0.49999999999999994,0.8660254037844387,1
1,1,7,2013,1,16,0,0,0.49999999999999994,0.8660254037844387,2
1,1,16,2013,1,17,0,0,0.49999999999999994,0.8660254037844387,3
1,1,7,2013,1,18,0,0,0.49999999999999994,0.8660254037844387,4
1,1,18,2013,1,19,1,0,0.49999999999999994,0.8660254037844387,5
1,1,15,2013,1,20,1,0,0.49999999999999994,0.8660254037844387,6
1,1,8,2013,1,21,0,0,0.49999999999999994,0.8660254037844387,0
1,1,7,2013,1,22,0,0,0.49999999999999994,0.8660254037844387,1
1,1,9,2013,1,23,0,0,0.49999999999999994,0.8660254037844387,2
1,1,8,2013,1,24,0,0,0.49999999999999994,0.8660254037844387,3
1,1,14,2013,1,25,0,0,0.49999999999999994,0.8660254037844387,4
1,1,12,2013,1,26,1,0,0.49999999999999994,0.8660254037844387,5
1,1,12,2013,1,27,1,0,0.49999999999999994,0.8660254037844387,6
1,1,11,2013,1,28,0,0,0.49999999999999994,0.8660254037844387,0
1,1,6,2013,1,29,0,0,0.49999999999999994,0.8660254037844387,1
1,1,9,2013,1,30,0,0,0.49999999999999994,0.8660254037844387,2
1,1,13,2013,1,31,0,0,0.49999999999999994,0.8660254037844387,3
1,1,11,2013,2,1,0,0,0.8660254037844386,0.5000000000000001,4
1,1,21,2013,2,2,1,0,0.8660254037844386,0.5000000000000001,5
1,1,15,2013,2,3,1,0,0.8660254037844386,0.5000000000000001,6
1,1,14,2013,2,4,0,0,0.8660254037844386,0.5000000000000001,0
1,1,9,2013,2,5,0,0,0.8660254037844386,0.5000000000000001,1
1,1,10,2013,2,6,0,0,0.8660254037844386,0.5000000000000001,2
1,1,13,2013,2,7,0,0,0.8660254037844386,0.5000000000000001,3
1,1,11,2013,2,8,0,0,0.8660254037844386,0.5000000000000001,4
1,1,14,2013,2,9,1,0,0.8660254037844386,0.5000000000000001,5
1,1,11,2013,2,10,1,0,0.8660254037844386,0.5000000000000001,6
1,1,16,2013,2,11,0,0,0.8660254037844386,0.5000000000000001,0
1,1,11,2013,2,12,0,0,0.8660254037844386,0.5000000000000001,1
1,1,14,2013,2,13,0,0,0.8660254037844386,0.5000000000000001,2
1,1,10,2013,2,14,0,0,0.8660254037844386,0.5000000000000001,3
1,1,11,2013,2,15,0,0,0.8660254037844386,0.5000000000000001,4
1,1,7,2013,2,16,1,0,0.8660254037844386,0.5000000000000001,5
1,1,11,2013,2,17,1,0,0.8660254037844386,0.5000000000000001,6
1,1,10,2013,2,18,0,0,0.8660254037844386,0.5000000000000001,0
1,1,10,2013,2,19,0,0,0.8660254037844386,0.5000000000000001,1
1,1,7,2013,2,20,0,0,0.8660254037844386,0.5000000000000001,2
1,1,13,2013,2,21,0,0,0.8660254037844386,0.5000000000000001,3
1,1,12,2013,2,22,0,0,0.8660254037844386,0.5000000000000001,4
1,1,15,2013,2,23,1,0,0.8660254037844386,0.5000000000000001,5
1,1,11,2013,2,24,1,0,0.8660254037844386,0.5000000000000001,6
1,1,7,2013,2,25,0,0,0.8660254037844386,0.5000000000000001,0
1,1,9,2013,2,26,0,0,0.8660254037844386,0.5000000000000001,1
1,1,9,2013,2,27,0,0,0.8660254037844386,0.5000000000000001,2
1,1,10,2013,2,28,0,0,0.8660254037844386,0.5000000000000001,3
1,1,15,2013,3,1,0,0,1.0,6.123233995736766e-17,4
1,1,13,2013,3,2,1,0,1.0,6.123233995736766e-17,5
1,1,20,2013,3,3,1,0,1.0,6.123233995736766e-17,6
1,1,14,2013,3,4,0,0,1.0,6.123233995736766e-17,0
1,1,13,2013,3,5,0,0,1.0,6.123233995736766e-17,1
1,1,17,2013,3,6,0,0,1.0,6.123233995736766e-17,2
1,1,11,2013,3,7,0,0,1.0,6.123233995736766e-17,3
1,1,15,2013,3,8,0,0,1.0,6.123233995736766e-17,4
1,1,16,2013,3,9,1,0,1.0,6.123233995736766e-17,5
1,1,11,2013,3,10,1,0,1.0,6.123233995736766e-17,6
1,1,18,2013,3,11,0,0,1.0,6.123233995736766e-17,0
1,1,14,2013,3,12,0,0,1.0,6.123233995736766e-17,1
1,1,13,2013,3,13,0,0,1.0,6.123233995736766e-17,2
1,1,10,2013,3,14,0,0,1.0,6.123233995736766e-17,3
1,1,14,2013,3,15,0,0,1.0,6.123233995736766e-17,4
1,1,10,2013,3,16,1,0,1.0,6.123233995736766e-17,5
1,1,22,2013,3,17,1,0,1.0,6.123233995736766e-17,6
1,1,11,2013,3,18,0,0,1.0,6.123233995736766e-17,0
1,1,19,2013,3,19,0,0,1.0,6.123233995736766e-17,1
1,1,14,2013,3,20,0,0,1.0,6.123233995736766e-17,2
1,1,17,2013,3,21,0,0,1.0,6.123233995736766e-17,3
1,1,21,2013,3,22,0,0,1.0,6.123233995736766e-17,4
1,1,21,2013,3,23,1,0,1.0,6.123233995736766e-17,5
1,1,19,2013,3,24,1,0,1.0,6.123233995736766e-17,6
1,1,13,2013,3,25,0,0,1.0,6.123233995736766e-17,0
1,1,16,2013,3,26,0,0,1.0,6.123233995736766e-17,1
1,1,11,2013,3,27,0,0,1.0,6.123233995736766e-17,2
1,1,13,2013,3,28,0,0,1.0,6.123233995736766e-17,3
1,1,17,2013,3,29,0,0,1.0,6.123233995736766e-17,4
1,1,19,2013,3,30,1,0,1.0,6.123233995736766e-17,5
1,1,20,2013,3,31,1,0,1.0,6.123233995736766e-17,6
1,1,11,2013,4,1,0,0,0.8660254037844387,-0.4999999999999998,0
1,1,19,2013,4,2,0,0,0.8660254037844387,-0.4999999999999998,1
1,1,24,2013,4,3,0,0,0.8660254037844387,-0.4999999999999998,2
1,1,18,2013,4,4,0,0,0.8660254037844387,-0.4999999999999998,3
1,1,19,2013,4,5,0,0,0.8660254037844387,-0.4999999999999998,4
1,1,23,2013,4,6,1,0,0.8660254037844387,-0.4999999999999998,5
1,1,17,2013,4,7,1,0,0.8660254037844387,-0.4999999999999998,6
1,1,19,2013,4,8,0,0,0.8660254037844387,-0.4999999999999998,0
1,1,13,2013,4,9,0,0,0.8660254037844387,-0.4999999999999998,1
1,1,19,2013,4,10,0,0,0.8660254037844387,-0.4999999999999998,2
1,1,16,2013,4,11,0,0,0.8660254037844387,-0.4999999999999998,3
1,1,18,2013,4,12,0,0,0.8660254037844387,-0.4999999999999998,4
1,1,17,2013,4,13,1,0,0.8660254037844387,-0.4999999999999998,5
1,1,26,2013,4,14,1,0,0.8660254037844387,-0.4999999999999998,6
1,1,14,2013,4,15,0,0,0.8660254037844387,-0.4999999999999998,0
1,1,9,2013,4,16,0,0,0.8660254037844387,-0.4999999999999998,1
1,1,17,2013,4,17,0,0,0.8660254037844387,-0.4999999999999998,2
1,1,21,2013,4,18,0,0,0.8660254037844387,-0.4999999999999998,3
1,1,22,2013,4,19,0,0,0.8660254037844387,-0.4999999999999998,4
1,1,22,2013,4,20,1,0,0.8660254037844387,-0.4999999999999998,5
1,1,20,2013,4,21,1,0,0.8660254037844387,-0.4999999999999998,6
1,1,13,2013,4,22,0,0,0.8660254037844387,-0.4999999999999998,0
1,1,11,2013,4,23,0,0,0.8660254037844387,-0.4999999999999998,1
1,1,13,2013,4,24,0,0,0.8660254037844387,-0.4999999999999998,2
1,1,14,2013,4,25,0,0,0.8660254037844387,-0.4999999999999998,3
1,1,20,2013,4,26,0,0,0.8660254037844387,-0.4999999999999998,4
1,1,22,2013,4,27,1,0,0.8660254037844387,-0.4999999999999998,5
1,1,19,2013,4,28,1,0,0.8660254037844387,-0.4999999999999998,6
1,1,11,2013,4,29,0,0,0.8660254037844387,-0.4999999999999998,0
1,1,15,2013,4,30,0,0,0.8660254037844387,-0.4999999999999998,1
